fare_id,route_id,origin_id,destination_id,contains_id
9240001009470_150_00,2848529016,50111 1,50303 2,
9240001009470_150_00,2848529016,50111 1,50150 2,
9240001009470_150_00,2848529016,50111 1,50140 2,
9240001009470_150_00,2848529016,50305 2,5210 2,
9240001009470_150_00,2848529016,50305 2,50300 2,
9240001009470_150_00,2848529016,50305 2,50130 2,
9240001009470_150_00,2848529016,50305 2,52320 1,
9240001009470_150_00,2848529016,50306 1,50302 2,
9240001009470_150_00,2848529016,50306 1,50120 2,
9240001009470_150_00,2848529016,50306 1,50297 2,
9240001009470_150_00,2848529016,50170 1,50113 1,
9240001009470_150_00,2848529016,50170 1,50302 2,
9240001009470_150_00,2848529016,50170 1,50104 2,
9240001009470_150_00,2848529016,50290 2,50121 2,
9240001009470_150_00,2848529016,5210 2,50292 2,
9240001009470_150_00,2848529016,5210 2,52320 1,
9240001009470_150_00,2848529016,50293 2,50292 2,
9240001009470_150_00,2848529016,50191 2,50299 2,
9240001009470_150_00,2848529016,50191 2,50294 2,
9240001009470_150_00,2848529016,50191 2,50121 2,
9240001009470_150_00,2848529016,50191 2,50130 2,
9240001009470_150_00,2848529016,50304 1,50295 2,
9240001009470_150_00,2848529016,50304 1,50104 2,
9240001009470_150_00,2848529016,50304 1,50297 2,
9240001009470_150_00,2848529016,50113 1,50295 2,
9240001009470_150_00,2848529016,50305 1,52300 1,
9240001009470_150_00,2848529016,50305 1,50298 2,
9240001009470_150_00,2848529016,50305 1,50120 1,
9240001009470_150_00,2848529016,50305 1,5220 3,
9240001009470_150_00,2848529016,50302 2,50290 2,
9240001009470_150_00,2848529016,50302 2,50301 2,
9240001009470_150_00,2848529016,50190 2,50113 1,
9240001009470_150_00,2848529016,50190 2,52300 1,
9240001009470_150_00,2848529016,50190 2,50130 2,
9240001009470_150_00,2848529016,50140 1,50306 1,
9240001009470_150_00,2848529016,50140 1,50234 2,
9240001009470_150_00,2848529016,50150 4,50113 1,
9240001009470_150_00,2848529016,50150 4,50302 2,
9240001009470_150_00,2848529016,50150 4,50130 2,
9240001009470_150_00,2848529016,50150 4,50296 2,
9240001009470_150_00,2848529016,50303 2,50293 2,
9240001009470_150_00,2848529016,50303 2,50298 2,
9240001009470_150_00,2848529016,50150 2,50121 2,
9240001009470_150_00,2848529016,50150 2,50130 2,
9240001009470_150_00,2848529016,50232 2,50294 2,
9240001009470_150_00,2848529016,50232 2,50121 2,
9240001009470_150_00,2848529016,50121 2,50290 2,
9240001009470_150_00,2848529016,50121 2,50191 2,
9240001009470_150_00,2848529016,50121 2,50150 2,
9240001009470_150_00,2848529016,50121 2,50232 2,
9240001009470_150_00,2848529016,50308 2,50111 1,
9240001009470_150_00,2848529016,50308 2,50299 2,
9240001009470_150_00,2848529016,50308 2,50302 2,
9240001009470_150_00,2848529016,50308 2,50120 1,
9240001009470_150_00,2848529016,50308 2,50307 2,
9240001009470_150_00,2848529016,50301 2,50291 2,
9240001009470_150_00,2848529016,52300 1,50140 2,
9240001009470_150_00,2848529016,50304 2,50140 2,
9240001009470_150_00,2848529016,50304 2,50120 1,
9240001009470_150_00,2848529016,50112 1,50295 2,
9240001009470_150_00,2848529016,50112 1,50104 2,
9240001009470_150_00,2848529016,50112 1,50301 2,
9240001009470_150_00,2848529016,50112 1,50291 2,
9240001009470_150_00,2848529016,50291 2,50290 2,
9240001009470_150_00,2848529016,50140 2,50130 2,
9240001009470_150_00,2848529016,50200 2,50295 2,
9240001009470_150_00,2848529016,50200 2,50234 2,
9240001009470_150_00,2848529016,50298 2,50290 2,
9240001009470_150_00,2848529016,50298 2,52300 1,
9240001009470_150_00,2848529016,50235 2,50234 2,
9240001009470_150_00,2848529016,50300 2,50292 2,
9240001009470_150_00,2848529016,50300 2,50140 2,
9240001009470_150_00,2848529016,50234 2,50306 1,
9240001009470_150_00,2848529016,50234 2,50304 1,
9240001009470_150_00,2848529016,50234 2,50301 2,
9240001009470_150_00,2848529016,50234 2,50291 2,
9240001009470_150_00,2848529016,50131 1,50191 2,
9240001009470_150_00,2848529016,50131 1,50292 2,
9240001009470_150_00,2848529016,50131 1,50140 2,
9240001009470_150_00,2848529016,50131 1,50300 2,
9240001009470_150_00,2848529016,50120 1,50123 1,
9240001009470_150_00,2848529016,50120 1,50305 1,
9240001009470_150_00,2848529016,50120 1,50292 2,
9240001009470_150_00,2848529016,50120 1,50150 2,
9240001009470_150_00,2848529016,50120 1,50308 2,
9240001009470_150_00,2848529016,50120 1,50304 2,
9240001009470_150_00,2848529016,50120 1,50140 2,
9240001009470_150_00,2848529016,50120 1,50130 1,
9240001009470_150_00,2848529016,5220 3,50150 2,
9240001009470_150_00,2848529016,50307 2,50303 2,
9240001009470_150_00,2848529016,50307 2,50300 2,
9240001009470_150_00,2848529016,52320 1,52300 1,
9240001009470_150_00,2848529016,50297 2,50295 2,
9240001009470_150_00,2848529016,50297 2,50293 2,
9240001009470_150_00,2848529016,50130 1,50294 2,
9240001009470_150_00,2848529016,50130 1,50298 2,
9240001009470_150_00,2848529016,50130 1,50120 1,
9240001009470_150_00,4209506957,50123 1,50123 1,
9240001009470_150_00,4209506957,50123 1,50305 1,
9240001009470_150_00,4209506957,50123 1,52300 2,
9240001009470_150_00,4209506957,50123 1,50301 1,
9240001009470_150_00,4209506957,50123 1,50131 1,
9240001009470_150_00,4209506957,50235 1,50121 2,
9240001009470_150_00,4209506957,50305 2,50200 1,
9240001009470_150_00,4209506957,50306 1,50303 2,
9240001009470_150_00,4209506957,50306 1,50140 2,
9240001009470_150_00,4209506957,5210 1,50235 1,
9240001009470_150_00,4209506957,5210 1,50301 1,
9240001009470_150_00,4209506957,50113 2,50120 2,
9240001009470_150_00,4209506957,50113 2,50191 1,
9240001009470_150_00,4209506957,50304 1,50232 1,
9240001009470_150_00,4209506957,50292 1,50104 1,
9240001009470_150_00,4209506957,50292 1,50111 2,
9240001009470_150_00,4209506957,50292 1,50170 2,
9240001009470_150_00,4209506957,50292 1,50234 1,
9240001009470_150_00,4209506957,50305 1,50111 2,
9240001009470_150_00,4209506957,50305 1,50307 1,
9240001009470_150_00,4209506957,50293 1,50235 1,
9240001009470_150_00,4209506957,50308 1,50121 2,
9240001009470_150_00,4209506957,50150 3,50298 1,
9240001009470_150_00,4209506957,50150 3,50306 1,
9240001009470_150_00,4209506957,50150 3,50305 1,
9240001009470_150_00,4209506957,50150 3,50170 2,
9240001009470_150_00,4209506957,50150 3,50307 1,
9240001009470_150_00,4209506957,50150 3,50234 1,
9240001009470_150_00,4209506957,50296 1,50235 1,
9240001009470_150_00,4209506957,50296 1,50298 1,
9240001009470_150_00,4209506957,50232 1,50308 1,
9240001009470_150_00,4209506957,50232 1,50190 1,
9240001009470_150_00,4209506957,50140 1,50296 1,
9240001009470_150_00,4209506957,50140 1,50232 1,
9240001009470_150_00,4209506957,50140 1,52320 2,
9240001009470_150_00,4209506957,5220 1,50235 1,
9240001009470_150_00,4209506957,5220 1,50308 1,
9240001009470_150_00,4209506957,5220 1,50120 2,
9240001009470_150_00,4209506957,5220 1,50200 1,
9240001009470_150_00,4209506957,5220 1,50190 1,
9240001009470_150_00,4209506957,5220 1,50300 1,
9240001009470_150_00,4209506957,52320 2,50191 1,
9240001009470_150_00,4209506957,52320 2,50190 1,
9240001009470_150_00,4209506957,50104 1,50303 2,
9240001009470_150_00,4209506957,50104 1,50150 2,
9240001009470_150_00,4209506957,50295 1,50308 1,
9240001009470_150_00,4209506957,50295 1,50200 1,
9240001009470_150_00,4209506957,50295 1,50190 1,
9240001009470_150_00,4209506957,50295 1,50300 1,
9240001009470_150_00,4209506957,50303 2,50235 1,
9240001009470_150_00,4209506957,50303 2,50307 1,
9240001009470_150_00,4209506957,50290 1,50304 1,
9240001009470_150_00,4209506957,50121 2,50235 1,
9240001009470_150_00,4209506957,50121 2,50308 1,
9240001009470_150_00,4209506957,50121 2,50307 1,
9240001009470_150_00,4209506957,52300 2,50123 1,
9240001009470_150_00,4209506957,52300 2,50298 1,
9240001009470_150_00,4209506957,52300 2,50305 1,
9240001009470_150_00,4209506957,52300 2,50111 2,
9240001009470_150_00,4209506957,52300 2,50234 1,
9240001009470_150_00,4209506957,50111 2,50170 2,
9240001009470_150_00,4209506957,50111 2,50234 1,
9240001009470_150_00,4209506957,50111 2,50140 2,
9240001009470_150_00,4209506957,50112 2,50235 1,
9240001009470_150_00,4209506957,50304 2,50303 2,
9240001009470_150_00,4209506957,50304 2,50150 2,
9240001009470_150_00,4209506957,50170 2,50130 2,
9240001009470_150_00,4209506957,50307 1,50121 2,
9240001009470_150_00,4209506957,50120 2,50113 2,
9240001009470_150_00,4209506957,50120 2,50303 1,
9240001009470_150_00,4209506957,50299 1,50104 1,
9240001009470_150_00,4209506957,50299 1,50191 1,
9240001009470_150_00,4209506957,50299 1,50300 1,
9240001009470_150_00,4209506957,50301 1,50303 2,
9240001009470_150_00,4209506957,50301 1,50304 2,
9240001009470_150_00,4209506957,50291 1,50298 1,
9240001009470_150_00,4209506957,50291 1,50304 2,
9240001009470_150_00,4209506957,50291 1,50301 1,
9240001009470_150_00,4209506957,50291 1,50130 2,
9240001009470_150_00,4209506957,50131 1,50123 1,
9240001009470_150_00,4209506957,50131 1,50293 1,
9240001009470_150_00,4209506957,50131 1,50150 3,
9240001009470_150_00,4209506957,50131 1,50140 2,
9240001009470_150_00,4209506957,50131 1,50291 1,
9240001009470_150_00,4209506957,50131 1,50294 1,
9240001009470_150_00,4209506957,50120 1,50235 1,
9240001009470_150_00,4209506957,50120 1,50308 1,
9240001009470_150_00,4209506957,50120 1,50112 2,
9240001009470_150_00,4209506957,50120 1,50300 1,
9240001009470_150_00,4209506957,50303 1,50120 2,
9240001009470_150_00,4209506957,50297 1,50235 1,
9240001009470_150_00,4209506957,50297 1,50190 1,
9240001009470_150_00,4209506957,50190 1,50200 1,
9240001009470_150_00,4209506957,50300 1,50235 1,
9240001009470_150_00,4209506957,50300 1,50304 1,
9240001009470_150_00,4209506957,50300 1,50232 1,
9240001009470_150_00,4209506957,50130 1,50200 1,
9240001009470_150_00,4209506957,50130 1,50301 1,
9240001009470_150_00,4209506957,50130 1,50131 1,
9240001009470_150_00,4209506957,50130 1,50130 2,
9240001009470_150_00,4209506957,50130 1,50190 1,
9240001009470_150_00,2848529016,50123 1,50305 1,
9240001009470_150_00,2848529016,50123 1,50140 2,
9240001009470_150_00,2848529016,50111 1,50295 2,
9240001009470_150_00,2848529016,50111 1,50290 2,
9240001009470_150_00,2848529016,50111 1,50304 2,
9240001009470_150_00,2848529016,50111 1,50298 2,
9240001009470_150_00,2848529016,50111 1,50300 2,
9240001009470_150_00,2848529016,50111 1,50297 2,
9240001009470_150_00,2848529016,50170 1,50111 1,
9240001009470_150_00,2848529016,50170 1,50191 2,
9240001009470_150_00,2848529016,50170 1,50120 1,
9240001009470_150_00,2848529016,50295 2,50140 2,
9240001009470_150_00,2848529016,5210 2,50290 2,
9240001009470_150_00,2848529016,5210 2,50296 2,
9240001009470_150_00,2848529016,50191 2,50306 1,
9240001009470_150_00,2848529016,50191 2,50104 2,
9240001009470_150_00,2848529016,50191 2,50303 2,
9240001009470_150_00,2848529016,50191 2,52300 1,
9240001009470_150_00,2848529016,50191 2,52320 1,
9240001009470_150_00,2848529016,50304 1,50306 1,
9240001009470_150_00,2848529016,50304 1,50290 2,
9240001009470_150_00,2848529016,50304 1,50299 2,
9240001009470_150_00,2848529016,50304 1,50292 2,
9240001009470_150_00,2848529016,50304 1,50304 2,
9240001009470_150_00,2848529016,50299 2,50121 2,
9240001009470_150_00,2848529016,50305 1,50295 2,
9240001009470_150_00,2848529016,50305 1,50302 2,
9240001009470_150_00,2848529016,50305 1,50303 2,
9240001009470_150_00,2848529016,50305 1,50150 2,
9240001009470_150_00,2848529016,50305 1,50140 2,
9240001009470_150_00,2848529016,50302 2,50295 2,
9240001009470_150_00,2848529016,50302 2,50150 2,
9240001009470_150_00,2848529016,50302 2,50298 2,
9240001009470_150_00,2848529016,50302 2,52320 1,
9240001009470_150_00,2848529016,50190 2,50111 1,
9240001009470_150_00,2848529016,50190 2,50294 2,
9240001009470_150_00,2848529016,50190 2,50302 2,
9240001009470_150_00,2848529016,50190 2,50304 2,
9240001009470_150_00,2848529016,50190 2,50140 2,
9240001009470_150_00,2848529016,50140 1,50305 2,
9240001009470_150_00,2848529016,50140 1,50290 2,
9240001009470_150_00,2848529016,50140 1,5210 2,
9240001009470_150_00,2848529016,50140 1,50120 2,
9240001009470_150_00,2848529016,50140 1,50200 2,
9240001009470_150_00,2848529016,50140 1,50235 2,
9240001009470_150_00,2848529016,50140 1,50296 2,
9240001009470_150_00,2848529016,50150 4,50191 2,
9240001009470_150_00,2848529016,50150 4,50303 2,
9240001009470_150_00,2848529016,50150 4,50301 2,
9240001009470_150_00,2848529016,50150 4,5220 3,
9240001009470_150_00,2848529016,50104 2,50302 2,
9240001009470_150_00,2848529016,50104 2,50121 2,
9240001009470_150_00,2848529016,50104 2,5220 3,
9240001009470_150_00,2848529016,50303 2,50104 2,
9240001009470_150_00,2848529016,50303 2,50300 2,
9240001009470_150_00,2848529016,50232 2,50111 1,
9240001009470_150_00,2848529016,50232 2,50112 1,
9240001009470_150_00,2848529016,50232 2,50303 1,
9240001009470_150_00,2848529016,50232 2,5220 3,
9240001009470_150_00,2848529016,50121 2,50299 2,
9240001009470_150_00,2848529016,50121 2,50104 2,
9240001009470_150_00,2848529016,50121 2,50131 1,
9240001009470_150_00,2848529016,50121 2,50130 2,
9240001009470_150_00,2848529016,50121 2,52320 1,
9240001009470_150_00,2848529016,50308 2,50120 2,
9240001009470_150_00,2848529016,50308 2,50200 2,
9240001009470_150_00,2848529016,50308 2,50234 2,
9240001009470_150_00,2848529016,50301 2,50290 2,
9240001009470_150_00,2848529016,50301 2,50130 2,
9240001009470_150_00,2848529016,50304 2,50303 2,
9240001009470_150_00,2848529016,50304 2,50301 2,
9240001009470_150_00,2848529016,50112 1,50113 1,
9240001009470_150_00,2848529016,50112 1,50296 2,
9240001009470_150_00,2848529016,50200 2,50113 1,
9240001009470_150_00,2848529016,50200 2,50292 2,
9240001009470_150_00,2848529016,50200 2,50235 2,
9240001009470_150_00,2848529016,50298 2,50140 2,
9240001009470_150_00,2848529016,50298 2,5220 3,
9240001009470_150_00,2848529016,50235 2,50305 2,
9240001009470_150_00,2848529016,50235 2,50290 2,
9240001009470_150_00,2848529016,50235 2,50304 1,
9240001009470_150_00,2848529016,50300 2,50293 2,
9240001009470_150_00,2848529016,50234 2,50113 1,
9240001009470_150_00,2848529016,50234 2,50299 2,
9240001009470_150_00,2848529016,50234 2,50232 2,
9240001009470_150_00,2848529016,50234 2,50298 2,
